item_id,client_id,item_name,item_data_description,item_status,item_image,item_time
627,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:31:54.000Z
628,1,pir,pir,1,pir.png,2021-07-06T18:31:54.000Z
633,1,ldr,ldr,0,ldr.png,2021-07-06T18:32:00.000Z
634,1,gas,gas,0,gas.png,2021-07-06T18:32:00.000Z
636,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:32:06.000Z
638,1,ldr,ldr,0,ldr.png,2021-07-06T18:32:06.000Z
644,1,pir,pir,1,pir.png,2021-07-06T18:32:12.000Z
643,1,gas,gas,0,gas.png,2021-07-06T18:32:12.000Z
647,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:32:18.000Z
646,1,dht/tc,temp,29.90,tem.png,2021-07-06T18:32:18.000Z
654,1,pir,pir,1,pir.png,2021-07-06T18:32:25.000Z
653,1,ldr,ldr,0,ldr.png,2021-07-06T18:32:25.000Z
657,1,gas,gas,0,gas.png,2021-07-06T18:32:31.000Z
659,1,dht/tc,temp,29.90,tem.png,2021-07-06T18:32:31.000Z
663,1,dht/tc,temp,29.90,tem.png,2021-07-06T18:32:37.000Z
665,1,ldr,ldr,0,ldr.png,2021-07-06T18:32:37.000Z
668,1,gas,gas,0,gas.png,2021-07-06T18:32:43.000Z
667,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:32:43.000Z
673,1,ldr,ldr,0,ldr.png,2021-07-06T18:32:49.000Z
675,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:32:49.000Z
677,1,gas,gas,0,gas.png,2021-07-06T18:32:55.000Z
680,1,ldr,ldr,0,ldr.png,2021-07-06T18:32:55.000Z
682,1,dht/tc,temp,29.80,tem.png,2021-07-06T18:33:01.000Z
684,1,ldr,ldr,0,ldr.png,2021-07-06T18:33:01.000Z
687,1,gas,gas,0,gas.png,2021-07-06T18:33:07.000Z
689,1,dht/tc,temp,29.80,tem.png,2021-07-06T18:33:07.000Z
691,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:33:13.000Z
694,1,pir,pir,1,pir.png,2021-07-06T18:33:13.000Z
696,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:33:19.000Z
697,1,dht/tc,temp,29.80,tem.png,2021-07-06T18:33:19.000Z
1841,1,dht/tc,temp,29.40,tem.png,2021-07-06T18:56:39.000Z
1850,1,pir,pir,1,pir.png,2021-07-06T18:56:45.000Z
1851,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:56:51.000Z
1856,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:56:57.000Z
1864,1,ldr,ldr,0,ldr.png,2021-07-06T18:57:03.000Z
1868,1,ldr,ldr,0,ldr.png,2021-07-06T18:57:09.000Z
1875,1,ldr,ldr,0,ldr.png,2021-07-06T18:57:15.000Z
1878,1,gas,gas,0,gas.png,2021-07-06T18:57:21.000Z
1885,1,dht/tc,temp,29.50,tem.png,2021-07-06T18:57:27.000Z
1886,1,dht/hum,hum,95.00,hum.png,2021-07-06T18:57:33.000Z
2289,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:05:40.000Z
2292,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:05:46.000Z
2300,1,ldr,ldr,0,ldr.png,2021-07-06T19:05:52.000Z
2303,1,gas,gas,0,gas.png,2021-07-06T19:05:58.000Z
2309,1,ldr,ldr,0,ldr.png,2021-07-06T19:06:05.000Z
2313,1,gas,gas,0,gas.png,2021-07-06T19:06:11.000Z
2320,1,pir,pir,1,pir.png,2021-07-06T19:06:17.000Z
2322,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:06:23.000Z
2328,1,gas,gas,0,gas.png,2021-07-06T19:06:29.000Z
2331,1,dht/tc,temp,29.40,tem.png,2021-07-06T19:06:35.000Z
2340,1,pir,pir,1,pir.png,2021-07-06T19:06:41.000Z
2341,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:06:47.000Z
2350,1,pir,pir,1,pir.png,2021-07-06T19:06:53.000Z
2351,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:06:59.000Z
2359,1,pir,pir,1,pir.png,2021-07-06T19:07:05.000Z
2362,1,dht/hum,hum,95.00,hum.png,2021-07-06T19:07:11.000Z
2370,1,pir,pir,1,pir.png,2021-07-06T19:07:18.000Z
