,item_name,item_status,item_time
25,gas,0.0,2021-07-04 12:54:56
32,gas,0.0,2021-07-04 12:55:08
37,gas,0.0,2021-07-04 12:55:14
41,gas,0.0,2021-07-04 13:16:30
48,gas,0.0,2021-07-04 13:16:36
52,gas,0.0,2021-07-04 13:28:46
58,gas,0.0,2021-07-04 13:28:52
62,gas,0.0,2021-07-04 13:35:05
66,gas,0.0,2021-07-04 13:35:11
74,gas,0.0,2021-07-04 13:35:36
76,gas,0.0,2021-07-04 13:35:42
81,gas,0.0,2021-07-04 14:40:18
87,gas,0.0,2021-07-04 14:40:24
91,gas,0.0,2021-07-04 14:40:30
97,gas,0.0,2021-07-04 14:40:36
102,gas,0.0,2021-07-04 14:40:43
106,gas,0.0,2021-07-04 14:40:49
113,gas,0.0,2021-07-04 14:40:55
119,gas,0.0,2021-07-04 14:41:01
124,gas,0.0,2021-07-04 14:41:07
